ID,Barbecue,Barbecue,Barbecue,Sour Cream and Onion,Sour Cream and Onion,Sour Cream and Onion,Salt and Vinegar,Salt and Vinegar,Salt and Vinegar,Cheese,Cheese,Cheese,Spicy Jalapeno,Spicy Jalapeno,Spicy Jalapeno,Ranch,Ranch,Ranch,Honey Mustard,Honey Mustard,Honey Mustard,Buffalo Wing,Buffalo Wing,Buffalo Wing,Garlic Parmesan,Garlic Parmesan,Garlic Parmesan,Dill Pickle,Dill Pickle,Dill Pickle,Sweet Chili,Sweet Chili,Sweet Chili,Sriracha,Sriracha,Sriracha,Mesquite BBQ,Mesquite BBQ,Mesquite BBQ,Loaded Baked Potato,Loaded Baked Potato,Loaded Baked Potato,Cool Ranch,Cool Ranch,Cool Ranch
211239390,,,1,,1,,,,1,,1,,,,1,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,,1,1,,,1,,
211239391,,1,,1,,,1,,,,1,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,,1,,,,1,1,,
211239402,1,,,1,,,,,1,1,,,1,,,,,1,1,,,,,1,,1,,,1,,1,,,,,1,1,,,,1,,,1,
211239406,,1,,,,1,,,1,1,,,,,1,,1,,,1,,,1,,1,,,,1,,1,,,,,1,1,,,1,,,,1,
211239408,1,,,1,,,,,1,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,,1,1,,,1,,,,1,,,1,
211239414,1,,,,,1,,1,,,1,,,1,,,1,,1,,,,1,,,,1,1,,,1,,,,1,,1,,,1,,,1,,
211239426,,1,,,,1,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,,1
211239428,,,1,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1
211239432,1,,,1,,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,
211239437,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,,1,,1,,,,1,1,,,1,,,,1,,,1,,,,1
211239445,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,,1,,1,,1,,,,,1,,,1,,,1,,1,
211239446,,1,,,,1,1,,,1,,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,1,,
211239459,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,,1,,1,,,1,,1,,,1,,
211239462,,,1,,1,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,,1,,1,,,1,,
211243699,1,,,,1,,,1,,1,,,1,,,,,1,1,,,,,1,,1,,,1,,1,,,,,1,1,,,1,,,,,1
211243717,1,,,,1,,,1,,,1,,,1,,1,,,,,1,,1,,,1,,,1,,,,1,1,,,1,,,,1,,1,,
